PLZ Katalog Schweiz;;;;;
Land;Kanton;PLZ;Zusatzziffer;Gemeinde;Ort
Schweiz;ZH;8702;0;Zollikon;Zollikon
Schweiz;ZH;8320;0;Fehraltorf;Fehraltorf
Schweiz;ZH;8335;0;Hittnau;Hittnau
Schweiz;ZH;8310;0;Lindau;Kemptthal
Schweiz;ZH;8310;1;Lindau;Grafstal
Schweiz;ZH;8312;0;Lindau;Winterberg ZH
Schweiz;ZH;8315;0;Lindau;Lindau
Schweiz;ZH;8317;0;Lindau;Tagelswangen
Schweiz;ZH;8330;0;Pfäffikon;Pfäffikon ZH
Schweiz;ZH;8331;0;Pfäffikon;Auslikon
Schweiz;ZH;8322;0;Russikon;Madetswil
Schweiz;ZH;8322;2;Russikon;Gündisau
Schweiz;ZH;8332;0;Russikon;Russikon
Schweiz;ZH;8332;2;Russikon;Rumlikon
Schweiz;ZH;8484;0;Weisslingen;Weisslingen
Schweiz;ZH;8484;2;Weisslingen;Neschwil
Schweiz;ZH;8484;3;Weisslingen;Theilingen
Schweiz;ZH;8492;0;Wila;Wila
Schweiz;ZH;8489;0;Wildberg;Wildberg
Schweiz;ZH;8489;1;Wildberg;Schalchen
Schweiz;ZH;8489;2;Wildberg;Ehrikon
Schweiz;ZH;8044;1;Dübendorf;Gockhausen
Schweiz;ZH;8600;0;Dübendorf;Dübendorf
Schweiz;ZH;8132;0;Egg;Egg b. Zürich
Schweiz;ZH;8132;2;Egg;Hinteregg
Schweiz;ZH;8133;0;Egg;Esslingen
Schweiz;ZH;8117;0;Fällanden;Fällanden
Schweiz;ZH;8118;0;Fällanden;Pfaffhausen
Schweiz;ZH;8121;0;Fällanden;Benglen
Schweiz;ZH;8606;2;Greifensee;Greifensee
Schweiz;ZH;8122;0;Maur;Binz
Schweiz;ZH;8123;0;Maur;Ebmatingen
Schweiz;ZH;8124;0;Maur;Maur
Schweiz;ZH;8617;0;Mönchaltorf;Mönchaltorf
Schweiz;ZH;8603;0;Schwerzenbach;Schwerzenbach
Schweiz;ZH;8606;0;Uster;Nänikon
Schweiz;ZH;8610;0;Uster;Uster
Schweiz;ZH;8614;2;Uster;Sulzbach
Schweiz;ZH;8615;0;Uster;Wermatswil
Schweiz;ZH;8615;2;Uster;Freudwil
Schweiz;ZH;8616;0;Uster;Riedikon
Schweiz;ZH;8604;0;Volketswil;Volketswil
Schweiz;ZH;8605;0;Volketswil;Gutenswil
Schweiz;ZH;8306;0;Wangen-Brüttisellen;Brüttisellen
Schweiz;ZH;8602;0;Wangen-Brüttisellen;Wangen b. Dübendorf
Schweiz;ZH;8479;0;Altikon;Altikon
Schweiz;ZH;8311;0;Brütten;Brütten
Schweiz;ZH;8471;0;Dägerlen;Rutschwil (Dägerlen)
Schweiz;ZH;8471;2;Dägerlen;Dägerlen
